year,overall,round,team,player,position,school,level
2019,22,1,Tampa Bay Rays,Greg Jones,SS,University of North Carolina at Wilmington,College
2019,23,1,Colorado Rockies,Michael Toglia,1B,"University of California, Los Angeles",College
2019,24,1,Cleveland Guardians,Daniel Espino,P,Georgia Premier Academy,HS
2019,25,1,Los Angeles Dodgers,Kody Hoese,3B,Tulane University,College
2019,26,1,Arizona Diamondbacks,Blake Walston,P,New Hanover HS,HS
2019,27,1,Chicago Cubs,Ryan Jensen,P,"California State University, Fresno",College
2019,28,1,Milwaukee Brewers,Ethan Small,P,Mississippi State University,College
2019,29,1,Athletics,Logan Davidson,SS,Clemson University,College
2019,30,1,New York Yankees,Anthony Volpe,SS,Delbarton School,HS
2019,31,1,Los Angeles Dodgers,Michael Busch,2B,University of North Carolina at Chapel Hill,College
2019,32,1,Houston Astros,Korey Lee,C,"University of California, Berkeley",College
2019,33,1,Arizona Diamondbacks,Brennan Malone,P,IMG Academy,HS
2019,34,1,Arizona Diamondbacks,Drey Jameson,P,Ball State University,College
2019,35,1,Miami Marlins,Kameron Misner,CF,University of Missouri,College
2019,36,1,Tampa Bay Rays,JJ Goss,P,Cypress Ranch HS,HS
2019,37,1,Pittsburgh Pirates,Sammy Siani,CF,William Penn Charter School,HS
2019,38,1,New York Yankees,T.J. Sikkema,P,University of Missouri,College
2019,39,1,Minnesota Twins,Matt Wallner,RF,University of Southern Mississippi,College
2019,40,1,Tampa Bay Rays,Seth Johnson,P,Campbell University,College
2019,41,1,Texas Rangers,Davis Wendzel,3B,Baylor University,College
2020,1,1,Detroit Tigers,Spencer Torkelson,3B,Arizona State University,College
2020,2,1,Baltimore Orioles,Heston Kjerstad,OF,University of Arkansas,College
2020,3,1,Miami Marlins,Max Meyer,P,University of Minnesota,College
2020,4,1,Kansas City Royals,Asa Lacy,P,Texas A&M University,College
2020,5,1,Toronto Blue Jays,Austin Martin,SS,Vanderbilt University,College
2020,6,1,Seattle Mariners,Emerson Hancock,P,University of Georgia,College
2020,7,1,Pittsburgh Pirates,Nick Gonzales,SS,New Mexico State University,College
2020,8,1,San Diego Padres,Robert Hassell III,OF,Independence HS,HS
2020,9,1,Colorado Rockies,Zac Veen,OF,Spruce Creek HS,HS
2020,10,1,Los Angeles Angels,Reid Detmers,P,University of Louisville,College
2020,11,1,Chicago White Sox,Garrett Crochet,P,University of Tennessee,College
2020,12,1,Cincinnati Reds,Austin Hendrick,OF,West Allegheny HS,HS
2020,13,1,San Francisco Giants,Patrick Bailey,C,North Carolina State University,College
2020,14,1,Texas Rangers,Justin Foscue,2B,Mississippi State University,College
2020,15,1,Philadelphia Phillies,Mick Abel,P,Jesuit HS,HS
2020,16,1,Chicago Cubs,Ed Howard,SS,Mount Carmel HS,HS
2020,17,1,Boston Red Sox,Nick Yorke,2B,Archbishop Mitty HS,HS
2020,18,1,Arizona Diamondbacks,Bryce Jarvis,P,Duke University,College
2020,19,1,New York Mets,Pete Crow-Armstrong,OF,Harvard-Westlake HS,HS
